index,qst_type,qst_group,qst_order,qst_actID,qst_missionID1,qst_missionID2,qst_missionID3,qst_rewardID,qst_req_type1,qst_req_value1,qst_req_type2,qst_req_value2,qst_req_type3,qst_req_value3,qst_req_type4,qst_req_value4,qst_req_type5,qst_req_value5,qst_villagerID,ui_title,ui_desc,ui_comp
int,qst_type,int,int,int,int,int,int,int,qst_req_type,int,qst_req_type,int,qst_req_type,int,qst_req_type,int,qst_req_type,int,int,string,string,string
1010001,1,10000,0,200,101,0,0,101,1,1,0,0,0,0,0,0,0,0,113001,ui_title_1010001,ui_desc_1010001,ui_comp_1010001
1010002,1,10000,1,300,102,0,0,102,2,1010001,0,0,0,0,0,0,0,0,113001,ui_title_1010002,ui_desc_1010002,ui_comp_1010002
1010003,1,10000,2,400,103,0,0,103,2,1010002,0,0,0,0,0,0,0,0,113002,ui_title_1010003,ui_desc_1010003,ui_comp_1010003
1010004,1,10000,3,500,104,0,0,104,2,1010003,0,0,0,0,0,0,0,0,113002,ui_title_1010004,ui_desc_1010004,ui_comp_1010004
1010005,1,10000,4,600,105,0,0,105,2,1010004,0,0,0,0,0,0,0,0,113002,ui_title_1010005,ui_desc_1010005,ui_comp_1010005
1010006,1,10000,5,700,106,0,0,106,2,1010005,0,0,0,0,0,0,0,0,114002,ui_title_1010006,ui_desc_1010006,ui_comp_1010006
1010007,1,10000,6,0,107,0,0,107,2,1010006,0,0,0,0,0,0,0,0,113001,ui_title_1010007,ui_desc_1010007,ui_comp_1010007
1010008,1,10000,7,800,108,0,0,108,2,1010007,0,0,0,0,0,0,0,0,113005,ui_title_1010008,ui_desc_1010008,ui_comp_1010008
1010009,1,10000,8,1000,109,111,0,109,2,1010008,0,0,0,0,0,0,0,0,113001,ui_title_1010009,ui_desc_1010009,ui_comp_1010009
1010010,1,10000,9,1100,110,0,0,110,2,1010009,0,0,0,0,0,0,0,0,113001,ui_title_1010010,ui_desc_1010010,ui_comp_1010010
1010011,1,10000,10,0,112,0,0,111,2,1010010,0,0,0,0,0,0,0,0,113001,ui_title_1010011,ui_desc_1010011,ui_comp_1010011
1010012,1,10000,11,0,113,0,0,112,2,1010011,0,0,0,0,0,0,0,0,113001,ui_title_1010012,ui_desc_1010012,ui_comp_1010012
1010013,1,10000,12,0,114,0,0,113,2,1010012,0,0,0,0,0,0,0,0,113002,ui_title_1010013,ui_desc_1010013,ui_comp_1010013
1010014,1,10000,13,0,115,0,0,114,2,1010013,0,0,0,0,0,0,0,0,113001,ui_title_1010014,ui_desc_1010014,ui_comp_1010014
1010015,1,10000,14,0,116,0,0,115,2,1010014,0,0,0,0,0,0,0,0,114002,ui_title_1010015,ui_desc_1010015,ui_comp_1010015
1010016,1,10000,15,0,117,0,0,116,2,1010015,0,0,0,0,0,0,0,0,113005,ui_title_1010016,ui_desc_1010016,ui_comp_1010016
1010017,1,10000,16,0,118,0,0,117,2,1010016,0,0,0,0,0,0,0,0,113005,ui_title_1010017,ui_desc_1010017,ui_comp_1010017
1010018,1,10000,17,0,119,0,0,118,2,1010017,0,0,0,0,0,0,0,0,114001,ui_title_1010018,ui_desc_1010018,ui_comp_1010018
1010019,1,10000,18,0,120,0,0,119,2,1010018,0,0,0,0,0,0,0,0,114001,ui_title_1010019,ui_desc_1010019,ui_comp_1010019
1010020,1,10000,19,0,121,122,0,120,2,1010019,0,0,0,0,0,0,0,0,114001,ui_title_1010020,ui_desc_1010020,ui_comp_1010020
1010021,1,10000,20,0,123,0,0,121,2,1010020,0,0,0,0,0,0,0,0,114001,ui_title_1010021,ui_desc_1010021,ui_comp_1010021
1010022,1,10000,21,0,124,125,0,122,2,1010021,0,0,0,0,0,0,0,0,114001,ui_title_1010022,ui_desc_1010022,ui_comp_1010022
1010023,1,10000,22,0,126,127,0,123,2,1010022,0,0,0,0,0,0,0,0,113001,ui_title_1010023,ui_desc_1010023,ui_comp_1010023
1010024,1,10000,23,0,128,0,0,124,2,1010023,0,0,0,0,0,0,0,0,113002,ui_title_1010024,ui_desc_1010024,ui_comp_1010024
1010025,1,10000,24,0,129,0,0,125,2,1010024,0,0,0,0,0,0,0,0,113002,ui_title_1010025,ui_desc_1010025,ui_comp_1010025
1010026,1,10000,25,0,130,131,0,126,2,1010025,0,0,0,0,0,0,0,0,113002,ui_title_1010026,ui_desc_1010026,ui_comp_1010026
1010027,1,10000,26,0,132,133,0,127,2,1010026,0,0,0,0,0,0,0,0,113002,ui_title_1010027,ui_desc_1010027,ui_comp_1010027
1010028,1,10000,27,0,134,0,0,128,2,1010027,0,0,0,0,0,0,0,0,114002,ui_title_1010028,ui_desc_1010028,ui_comp_1010028
1010029,1,10000,28,0,135,0,0,129,2,1010028,0,0,0,0,0,0,0,0,114002,ui_title_1010029,ui_desc_1010029,ui_comp_1010029
1010030,1,10000,29,0,136,137,138,130,2,1010029,0,0,0,0,0,0,0,0,113001,ui_title_1010030,ui_desc_1010030,ui_comp_1010030
1110000,2,20000,0,5000,100100,0,0,1000,2,1010000,0,0,0,0,0,0,0,0,113001,ui_title_1110000,ui_desc_1110000,ui_comp_1110000
1110001,2,20001,0,5100,100101,0,0,1001,2,1010005,4,114002,0,0,0,0,0,0,114002,ui_title_1110001,ui_desc_1110001,ui_comp_1110001
1210000,3,30000,0,10000,200100,0,0,2000,4,114001,4,114002,0,0,0,0,0,0,114001,ui_title_1210000,ui_desc_1210000,ui_comp_1210000